Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,"Unemployment (%, age 15plus)",Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Human Development Index (HDI),Inflation (annual %),Internet users (%),Median age ,Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week
South Africa,Sub-Saharan Africa,113,4.642,0.04585,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,25.2,2.08,159,2.49,44,0.666,5.12,51.9,26.1,1.1,,45.6,2.17,64.8,43.4
Ghana,Sub-Saharan Africa,114,4.633,0.04742,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,6.81,19.1,127,4.04,47,0.579,16.4,31.4,20.4,0.527,,121,3.52,54.1,35.1
Zimbabwe,Sub-Saharan Africa,115,4.61,0.0429,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,,10.1,80.9,3.84,21,0.516,0.898,22.7,19,2.34,,40.8,1.98,32.4,
Liberia,Sub-Saharan Africa,116,4.571,0.11068,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,,34.4,81.2,4.65,37,0.427,1.04,5.9,18.6,0.728,,46.7,3.3,49.8,
India,Southern Asia,117,4.565,0.02043,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,,16.2,76.5,2.35,38,0.624,2.07,26,26.7,2.41,,440,2.37,32.8,
Sudan,Sub-Saharan Africa,118,4.55,0.0674,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,,31.4,72.3,4.6,12,0.49,17.9,26.6,18.9,2.36,,21.9,2.99,33.9,
Haiti,Latin America and Caribbean,119,4.518,0.07331,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,,17.1,68.2,2.97,17,0.493,6.88,12.2,23,0.00089,,389,3.2,52.4,
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0368,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,,,,,,,,,,,,,,,
Nepal,Southern Asia,121,4.514,0.03607,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,,29.4,96,2.16,27,0.558,4.94,17.6,23.2,1.56,,200,3.21,18.6,53.6
Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,,36.1,42.4,4.32,33,0.448,10.8,13.9,18.6,0.74,,99.9,4.78,19.4,
