Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,aged_15plus_unemployment_rate_percent,agriculture_percent_of_gdp,cell_phones_per_100_people,children_per_woman_total_fertility,corruption_perception_index_cpi,hdi_human_development_index,inflation_annual_percent,internet_users,median_age_years,military_expenditure_percent_of_gdp,murder_per_100000_people,population_density_per_square_km,urban_population_growth_annual_percent,urban_population_percent_of_total,working_hours_per_week
Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737,8.3,6.04,119.0,1.87,37.0,0.727,2.45,55.9,30.1,3.12,,43.5,1.35,79.8,43.6
Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2.31945,0.597,8.99,150.0,1.5,38.0,0.74,0.8590000000000001,39.3,37.8,1.45,3.15,134.0,1.94,47.7,43.3
Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.04633,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2.43872,5.59,2.62,167.0,2.58,52.0,0.847,-16.9,69.6,29.8,13.5,,14.7,2.77,83.2,44.1
Spain,Western Europe,36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2.12367,22.1,2.52,110.0,1.35,58.0,0.884,0.611,78.7,43.2,1.27,0.557,93.0,0.21899999999999997,79.6,37.3
Malta,Western Europe,37,6.3020000000000005,0.04206,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,1.6488,5.39,1.1,123.0,1.44,60.0,0.856,2.72,76.0,40.9,0.504,0.606,1340.0,2.46,94.4,37.5
Taiwan,Eastern Asia,38,6.297999999999999,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,,,,,,,,,,,,,,,
Kuwait,Middle East and Northern Africa,39,6.295,0.04456,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,1.8763400000000001,2.2,0.5379999999999999,149.0,1.99,49.0,0.8,-26.0,77.5,33.4,5.03,,221.0,3.97,100.0,
Suriname,Latin America and Caribbean,40,6.269,0.09811,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2.79094,7.22,9.21,136.0,2.4,36.0,0.725,-2.1,42.8,28.4,,,3.55,0.909,66.1,
Trinidad and Tobago,Latin America and Caribbean,41,6.1679999999999975,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.2688200000000003,2.21,0.447,156.0,1.77,39.0,0.78,-12.1,69.2,33.9,0.78,,265.0,0.23600000000000002,53.3,
El Salvador,Latin America and Caribbean,42,6.13,0.056179999999999994,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,3.035,,5.81,148.0,2.1,39.0,0.68,0.187,26.8,25.8,0.952,,305.0,1.69,69.7,42.3
Guatemala,Latin America and Caribbean,43,6.1229999999999976,0.052239999999999995,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,2.51,10.5,111.0,3.03,28.0,0.64,3.23,28.8,21.3,0.396,,152.0,2.72,50.0,42.0
Uzbekistan,Central and Eastern Europe,44,6.002999999999999,0.04361,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2.2374099999999997,5.15,16.6,70.3,2.31,19.0,0.701,9.07,42.8,26.3,,,72.8,1.55,50.8,
Slovakia,Central and Eastern Europe,45,5.995,0.04267,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2.2463900000000003,,,,,,,,,,,,,,,
Japan,Eastern Asia,46,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,3.4,1.11,125.0,1.44,75.0,0.903,2.14,91.1,46.3,0.961,0.20800000000000002,351.0,-0.0218,91.4,39.0
South Korea,Eastern Asia,47,5.984,0.04098,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557,2.21978,3.6,2.09,116.0,1.28,54.0,0.901,2.39,89.9,40.8,2.64,0.87,520.0,0.43799999999999994,81.6,43.6
Ecuador,Latin America and Caribbean,48,5.975,0.04528,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999994,2.5394200000000002,3.62,9.45,80.2,2.51,32.0,0.7390000000000001,-2.49,48.9,26.6,2.58,,65.0,1.72,63.4,39.0
Bahrain,Middle East and Northern Africa,49,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,,0.315,184.0,2.05,51.0,0.8240000000000001,-9.37,93.5,31.2,4.63,,1810.0,2.71,89.0,
Italy,Western Europe,50,5.9479999999999995,0.03914,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2.0251799999999998,11.9,2.02,147.0,1.46,44.0,0.887,0.938,58.1,45.9,1.38,0.564,202.0,0.326,69.6,36.4
Bolivia,Latin America and Caribbean,51,5.89,0.05642000000000001,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2.82334,,10.2,94.8,2.92,34.0,0.674,-4.62,35.6,24.1,1.74,,9.9,2.03,68.4,
Moldova,Central and Eastern Europe,52,5.888999999999999,0.037989999999999996,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,3.69,12.2,91.3,1.25,33.0,0.6990000000000001,9.82,69.0,35.6,0.354,4.02,124.0,-0.0785,42.5,38.3
Paraguay,Latin America and Caribbean,53,5.877999999999999,0.045630000000000004,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2.18896,4.56,17.4,112.0,2.51,27.0,0.693,0.0873,49.7,24.9,1.42,,16.7,1.77,60.8,42.7
Kazakhstan,Central and Eastern Europe,54,5.855,0.041139999999999996,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.08454,0.11827,2.24729,4.93,4.71,148.0,2.66,28.0,0.794,1.82,70.8,29.3,1.14,5.89,6.57,1.59,57.2,38.0
Slovenia,Central and Eastern Europe,55,5.848,0.04251,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,1.6158299999999999,8.96,2.03,113.0,1.61,60.0,0.89,0.9670000000000001,73.1,43.0,0.93,0.56,103.0,0.493,53.8,39.1
Lithuania,Central and Eastern Europe,56,5.8329999999999975,0.03843,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,2.4464900000000003,9.12,3.44,143.0,1.64,59.0,0.848,0.306,71.4,42.7,1.14,3.66,46.8,-0.759,67.2,38.8
Nicaragua,Latin America and Caribbean,57,5.827999999999999,0.05371,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2.32407,,16.0,119.0,2.23,27.0,0.645,6.38,19.7,25.2,0.7759999999999999,,50.5,1.46,57.9,
Peru,Latin America and Caribbean,58,5.824,0.04615,0.9001899999999999,0.97459,0.73017,0.4149600000000001,0.05989,0.14982,2.5945,3.0,7.04,109.0,2.43,36.0,0.74,2.61,40.9,27.5,1.73,,24.5,1.53,77.4,39.0
Belarus,Central and Eastern Europe,59,5.813,0.03938,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999,2.1309,,6.28,121.0,1.69,32.0,0.7959999999999999,16.0,67.3,39.6,1.33,,46.7,0.794,77.2,36.5
Poland,Central and Eastern Europe,60,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,1.86565,7.5,2.2,143.0,1.31,63.0,0.855,0.7559999999999999,68.0,39.7,2.14,0.588,125.0,-0.27399999999999997,60.3,40.4
Malaysia,Southeastern Asia,61,5.77,0.0433,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075,1.8854099999999998,3.1,8.46,144.0,2.06,50.0,0.789,-0.374,71.1,27.7,1.53,,93.5,2.49,74.2,45.4
Croatia,Central and Eastern Europe,62,5.7589999999999995,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414,16.2,3.52,104.0,1.47,51.0,0.8270000000000001,-0.0198,69.8,42.6,1.54,0.6459999999999999,75.7,-0.41,56.2,38.4
Libya,Middle East and Northern Africa,63,5.754,0.07832,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.0906599999999997,,,156.0,2.31,16.0,0.716,-15.3,19.0,27.2,,,3.54,0.826,79.3,
Russia,Central and Eastern Europe,64,5.716,0.03135,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2.27394,5.57,4.13,158.0,1.74,29.0,0.804,8.35,70.1,38.7,4.85,,8.79,0.32799999999999996,74.0,39.3
Jamaica,Latin America and Caribbean,65,5.709,0.13693,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2.32038,13.5,6.3,109.0,2.03,41.0,0.73,6.62,42.2,29.4,0.868,,265.0,0.799,54.8,
North Cyprus,Western Europe,66,5.695,0.05635,1.2080600000000001,1.07008,0.92356,0.49027,0.1428,0.26169000000000003,1.5988799999999999,,,,,,,,,,,,,,,
Cyprus,Western Europe,67,5.689,0.0558,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998,14.9,1.85,132.0,1.35,61.0,0.856,-1.18,71.7,34.9,1.68,1.42,126.0,0.623,66.9,37.9
Algeria,Middle East and Northern Africa,68,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2.43209,11.2,11.6,108.0,2.84,36.0,0.745,-6.57,38.2,27.5,6.27,,16.7,2.81,70.8,
Kosovo,Central and Eastern Europe,69,5.5889999999999995,0.05018,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2.76579,,,,,,,,,,,,,,,
Turkmenistan,Central and Eastern Europe,70,5.547999999999999,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.8698400000000002,,9.3,141.0,2.93,18.0,0.6920000000000001,-5.15,15.0,25.6,,,11.8,2.59,50.3,
Mauritius,Sub-Saharan Africa,71,5.477,0.07197,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,7.41,3.15,140.0,1.44,53.0,0.7809999999999999,1.04,50.1,35.6,0.183,2.26,620.0,-0.138,41.0,38.3
Hong Kong,Eastern Asia,72,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.6542899999999999,,,,,,,,,,,,,,,
Estonia,Central and Eastern Europe,73,5.428999999999999,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,6.19,2.71,145.0,1.62,70.0,0.865,1.25,88.4,41.6,2.05,2.74,31.0,0.281,68.4,38.1
